Organism,Phylym,Gender,Specie,Collection,Color of the mycelium,Pigmentation of the medium,Outline of the colony,Density of the mycelium,Aerial mycelium,Special structures,Exudates,Meiospores,Septa,Mitospores,Sporogenesis,Color of the mitospores,Form of the mitospores,Number of cells,Disposition of mitospores,Regroupment of mitospores,Color of the colony,Form of the blastospores,Photo genre,Photo micro genre,Dessus,Dessous,Photo micro
Filamentous,Ascomycète,Alternaria,padwickii,FungiSem,Brown/black,No,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_padwickii,,bino_Alternaria_padwickii
Filamentous,Ascomycète,Alternaria,petroselini,FungiSem,Brown/black,No,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_petroselini,dessous_Alternaria_petroselini,micro_Alternaria_petroselini
Filamentous,Ascomycète,Alternaria,porri,FungiSem,White/grey,Yes,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_porri,dessous_Alternaria_porri,
Filamentous,Ascomycète,Alternaria,radicina,FungiSem,Brown/black,No,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_radicina,,micro_Alternaria_radicina
Filamentous,Ascomycète,Alternaria,rosae,FungiSem,Brown/black,No,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_rosae,dessous_Alternaria_rosae,
Filamentous,Ascomycète,Alternaria,solani,FungiSem,White/grey,No,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_solani,dessous_Alternaria_solani,
Filamentous,Ascomycète,Alternaria,tenuis,GEVES,Brown/black,No,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_tenuis,dessous_Alternaria_tenuis,
Filamentous,Ascomycète,Alternaria,tenuissima,FungiSem,Brown/black,No,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_tenuissima,dessous_Alternaria_tenuissima,micro_Alternaria_tenuissima
Filamentous,Ascomycète,Alternaria,tomatophilae,FungiSem,White/grey,No,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_tomatophilae,dessous_Alternaria_tomatophilae,micro_Alternaria_tomatophilae
Filamentous,Ascomycète,Alternaria,triticina,GEVES,Brown/black,No,regular,dense,No,No,No,No,Yes,Yes,Free,Dark,Dictyospore,3-7,Terminal,Group in chaintte,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_triticina,,micro_Alternaria_triticina
